SEDE_CODICE,Vi_sono_parcheggi_per_disabili,SEDE_ACCESSIBILE_AI_DISABILI,MUSEO_CODICE,MUSEO_DENOMINAZIONE,MUSEO_TIPOLOGIA,SEDE_DENOMINAZIONE,SEDE_COMUNE,SEDE_PROVINCIA,SEDE_FRAZIONE,SEDE_CAP,SEDE_INDIRIZZO,SEDE_TELEFONO,SEDE_FAX,SEDE_MAIL,SEDE_SITO,SEDE_APERTURA_STATO,SEDE_CHIUSURA_MOTIVO,SEDE_APERTURA_NOTE,SEDE_DESCR_ORARIO_APERTURA,SEDE_ORARI_APERTURA_NOTA,MUSEO_INGRESSO,MUSEO_GIORNO_INGRESSO_GRATUITO,vi_sono_parcheggi_in_zona,ck_biblioteca,ck_aula_attivita_didattiche_ed,ck_sale_studio,ck_archivio,ck_fototeca,ck_sala_conferenze,ck_sala_proiezioni_audio_video,ST_NOTE_3_2_2,ck_biglietteria,ck_guardaroba,ck_area_per_accoglienza,ck_book_shop,ck_caffetteria_ristorante,ck_area_x_prima_infanzia,ST_NOTE_3_2_3,ck_laboratorio_fotografico,ck_laboratorio_di_restauro,ck_laboratorio_preparazione,ck_laboratorio_per_analisi,ST_NOTE_3_2_4,presenza_servizi_igienici,ck_pannelli_sk_mobili,ck_guide_brevi_in_italiano,ck_guide_brevi_in_piu_lingue,ck_catalogo_del_museo,ck_servizio_di_audioguide,ck_proiezione_audiovisivi,ck_sussidi_inform_multimediali,ck_servizio_di_visite_guidate,ck_servizi_speciali_disabili,RA_NOTE_7_9_3,RICONOSCIMENTO_STATO
402,NO,NON ACCESSIBILE,226,MUSEO BAGATTI  VALSECCHI,CASA-MUSEO,MUSEO BAGATTI VALSECCHI,MILANO,MILANO,,20121,"Via S. Spirito, 10 - Via Gesù, 5",02 76006132 - 02 76014857,02 76014859,info@museobagattivalsecchi.org,www.museobagattivalsecchi.org,APERTA,,,Dal Martedì alla Domenica dalle ore 13.00 alle ore 17.45. Chiuso il Lunedì.,"Il Museo limita la chiusura estiva al solo mese di agosto, nel quale vengono svolti i lavori di pulizia e manutenzione straordinaria delle sale e delle collezioni.
Al mattino il Museo è visitabile dalle scuole su prenotazione.",A PAGAMENTO,,SI,SI,SI,,SI,SI,SI,SI,"A Sala Conferenze, a Sala Proiezioni  e laboratorio didattico sono adibiti all'occorrenza ambienti all'interno del percorso museale.",SI,SI,,SI,,,,,,,,Laboratori didattici per bambini vengono allestiti all'occorrenza in un ambiente del percorso museale.,SI,SI,SI,SI,SI,SI,,,SI,,,RICONOSCIUTO
2314,SI,TOTALMENTE,2271,CIVICO MUSEO ARCHEOLOGICO,ARCHEOLOGIA,CIVICO MUSEO ARCHEOLOGICO PALAZZINA DEL PRETORIO,ANGERA,VARESE,,21021,"Via Marconi, 2",0331 931133,0331 960181,cultura@comune.angera.it,www.comune.angera.it,APERTA,,"Gli orari di apertura sono i seguenti:
lunedì 14.30/18.00
martedì14.30/18.00
giovedì 10.00-12.00 14.30/18.00
sabato 9.00-12.00","Dall'1/2 al 14/5 e dal 15/9 al 20/12:
mercoledì e giovedì ore 10-13
domenica ore 14,30-18,30

Dal 15/5 al 14/9:
giovedì ore 10-13
sabato e domenica ore 14,30-18,30

chiuso dal 21/12 al 31/1, Pasqua,25 aprile, 1°novembre, 8 dicembre",Il nuovo orario è stato attivato in via sperimentale a settembre 2011 e sarà applicato in via definitiva a partire dall'1/2/2012.,GRATUITO,,SI,SI,SI,,SI,SI,SI,,"Il Civico Museo Archeologico è strettamente collegato con la Biblioteca Comunale di Angera la quale dispone di una sezione dedicata all'archeologia comprendente sia pubblicazioni scientifiche che divulgative e riguardanti non solo il territorio locale ma anche altri ambiti territoriali.
Dal 2011 è disponibile un laboratorio didattico (per 28 utenti) e una sala conferenze (per 45 utenti).",,,,,,,,,,,,,SI,SI,SI,SI,SI,,,,SI,,il catalogo è in stampa all'interno del volume delle collezioni archeologiche del Sistema,RICONOSCIUTO
2042,SI,PARZIALMENTE,1981,MUSEO CIVICO ETNOGRAFICO ALTA VALLE BREMBANA,ETNOGRAFIA E ANTROPOLOGIA,MUSEO CIVICO ETNOGRAFICO ALTA VALLE BREMBANA,VALTORTA,BERGAMO,,24010,"Via Torre, 1",0345 87713,0345 20808,comune di valtorta@tin.it,www.valtorta.info,APERTA,,,"AGOSTO: DAL 1 AL 25 APERTO TUTTI I GIORNI, DALLE ORE 10 ALLE 12 E DALLE 15 ALLE 18;
GLI ALTRI MESI: APERTO DA MARTEDI' A DOMENICA, dalle ore 10 alle 12 e dalle 14.30 alle 17.00
In altri orari, previo appuntamento telefonico.",,A PAGAMENTO,,SI,SI,SI,,SI,,SI,,,SI,,SI,,,SI,"Il Museo ha ottenuto un finanziamento dalla Fondazione Cariplo per lo sviluppo di un sistema culturale locale (Ecomuseo dell'Alta Valle Brembana).
Museo di Valtorta (Ente capofila), partners: Comuni di Cassiglio, Mezzoldo Roncobello, Provincia di Bergamo, Università degli studi di Bergamo.

Si prevede la realizzazione di un book-shop.",,SI,,,,SI,,SI,,,SI,,,SI,,"Il Museo ha ottenuto un finanziamento dalla Fondazione Cariplo per lo sviluppo di un sistema culturale locale (Ecomuseo dell'Alta Valle Brembana).
Museo di Valtorta (Ente capofila), partners: Comuni di Cassiglio, Mezzoldo Roncobello, Provincia di Bergamo, Università degli studi di Bergamo.

Il progetto prevede un notevole potenziamento dell'interfaccia museo/visitatore al fine di milgiorane la fruibilità.",RICONOSCIUTO
405,SI,PARZIALMENTE,221,FONDAZIONE EMILIO CARLO MANGINI,CASA-MUSEO,FONDAZIONE EMILIO CARLO MANGINI - MUSEO MANGINI BONOMI,MILANO,MILANO,,20123,"Via Dell'Ambrosiana, 20",0286451455,0286451493,info@museomanginibonomi.it,www.museomanginibonomi.it,APERTA,,,"Lunedì e Giovedi dalle 15,00 alle 19,00
Mercoledì dalle 15,00 alle 17,00

Domenica aperto su richiesta per eventi speciali",,GRATUITO,"LUNEDI E GIOVEDI DALLE 15,00 ALLE 19,00",SI,SI,,,SI,SI,,,Due sale sono dotate di video touch screen,,SI,SI,SI,,,,,,,,,SI,SI,SI,,SI,SI,,SI,SI,,,RICONOSCIUTO
2322,SI,PARZIALMENTE,2277,CIVICA GALLERIA D'ARTE MODERNA,ARTE,CIVICA GALLERIA D'ARTE MODERNA,GALLARATE,VARESE,,21013,"Via Milano, 21",0331.791266/0331.777893,0331.791266,info@gam.gallarate.va.it,www.gam.gallarate.va.it,APERTA,,,"Apertura al pubblico:
Martedì-domenica dalle 10.00 alle 12.30 e dalle 14.30 alle 18.30.Lunedì chiuso.Per mostre importanti orario continuato da martedi a domenica. 
Chiuso le due settimane centrali del mese di agosto.
Orario di Segreteria:
Lunedì-venerdì dalle 8.30 alle 18.00
Sabato dalle 8.30 alle 12.30.",,GRATUITO,,SI,SI,SI,SI,SI,SI,SI,SI,"La sala conferenze coincide con la sala per proiezioni audio e video, entrambe situate in una sala espositiva a piano terreno adeguatamente attrezzata",SI,SI,,SI,,SI,,,,,,,SI,SI,,,SI,,,,SI,SI,"Sono inoltre disponibili i cataloghi delle singole mostre o eventi e la rivista della Sezione Didattica della Civica Galleria ""Wok"".",RICONOSCIUTO
2321,SI,PARZIALMENTE,2276,MUSEO CIVICO BRANDA CASTIGLIONI,ARTE,MUSEO CIVICO BRANDA CASTIGLIONI  - PALAZZO BRANDA CASTIGLIONI,CASTIGLIONE OLONA,VARESE,,20143,"Via Mazzini, 23",0331 858301,0331 824457,cultura@castiglioneolona.it,www.castiglioneolona.it,APERTA,,,"Invernale: dall'1/10 al 31/3
da martedì a sabato 9-12/15-18
domenica e festivi 15-18
Estivo: dall'1/4 al 30/9
da martedì a sabato 9-12/15-18
domenica e festivi 10.30-12.30/15-18
chiuso lunedì",Il museo resta chiuso il lunedì non festivo ed il 25 dicembre.,A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,,,SI,SI,SI,SI,,,,,,,,,SI,SI,SI,,,SI,,,SI,,"Il volume di recentissima pubblicazione ""Lo specchio di Castiglione Olona"", benché non costituisca il catalogo del museo, è un'approfondita monografia che esamina tutti gli ambienti e gran parte delle opere esposte.",RICONOSCIUTO
942,NO,PARZIALMENTE,801,MUSEO DELLA GUERRA BIANCA IN ADAMELLO,STORIA,MUSEO DELLA GUERRA BIANCA IN ADAMELLO,TEMU',BRESCIA,,25050,"Via Adamello, 1",0364 94617,0364 94365,info@museoguerrabianca.it,www.museoguerrabianca.it,APERTA,,,Nel periodo estivo e durante le festività natalizie e pasquali il museo è aperto tutti i giorni (dal lunedì alla domenica) dalle 17.30 alle 19.30. E' attivo il servizio di prenotazione di visite a richiesta.,,A PAGAMENTO,,SI,SI,,,,,,SI,La sede in costruzione prevede adeguati spazi per i servizi al pubblico (vedasi progetto scientifico allegato).,SI,,,SI,,,La sede in costruzione prevede adeguati spazi per i servizi al pubblico (vedasi progetto scientifico allegato).,,,,,Gli interventi di conservazione sono effettuati presso laboratori messi a disposizione da soci. Con la realizzazione della nuova sede è prevista la trasformazione degli attuali spazi espositivi in laboratori e in spazi di deposito.,SI,,SI,,,,SI,,SI,,"Il progetto scientifico della nuova struttura espositiva prevede quasi tutti gli strumenti elencati, la cui predisposizione avverrà progressivamente, parallelamente con l'incremento della struttura operativa (vedi progetto scientifico allegato).",RICONOSCIUTO
2324,SI,TOTALMENTE,2279,MUSEO AGUSTA,SPECIALIZZATO,MUSEO AGUSTA,SAMARATE,VARESE,Cascina Costa,21013,"Via G.  Agusta, 510",0331 220545/0331 229348,0331 220545/0331 229124,g.marasi@it.agusta.com,www.glaagusta.com,APERTA,,,"Domenica   9.00-12.30/14.00-18.00
martedì    14.00-18.00
Mercoledì  14.00-18.00
A richiesta per delegazioni, gruppi, scuole al di fuori dell'orario stabilito.",,A PAGAMENTO,,SI,,SI,,,,SI,SI,In corso di allestimento biblioteca ed archivio storico.,SI,,SI,SI,,,,,,,,,SI,SI,SI,,,,SI,,SI,,,RICONOSCIUTO
2331,SI,TOTALMENTE,2284,MUSEO DI VILLA MENAFOGLIO LITTA PANZA,ARTE,VILLA MENAFOGLIO LITTA PANZA,VARESE,VARESE,Varese,21100,Piazza Litta 1,0332 283960,0332 498315,faibiumo@fondoambiente.it,www.fondoambiente.it,APERTA,,,"Aperto tutti i giorni tranne i lunedì non festivi: 10-18
Ultimo ingresso 45 minuti prima della chiusura.",,A PAGAMENTO,GIORNATE FAI DI PRIMAVERA,SI,,SI,,,,SI,SI,"Sala conferenze allestita quando necessario.

Laboratorio didattico dotato di impianto audio - video per conferenze

Centro di documentazione, fototeca e archivio schedografico presso sede operativa FAI - Viale Coni Zugna 5 - Milano
Accesso e consultazione su appuntamento
(vedi nota al punto 7.6)",SI,,SI,SI,SI,SI,"In corso l'intervento di ampliamento e ristrutturazione del Ristorante.
Apertura prevista settembre 2009",,,,,,SI,SI,SI,SI,SI,SI,,,SI,,,RICONOSCIUTO
2028,SI,TOTALMENTE,1966,GALLERIA D'ARTE MODERNA E CONTEMPORANEA,ARTE,GALLERIA D'ARTE MODERNA E CONTEMPORANEA,BERGAMO,BERGAMO,,24121,"Via San Tomaso, 53",035 270272,035 236962,,www.gamec.it,APERTA,,"la collezione permanente è aperta al pubblico da martedi a domenica dalle ore 10,00 alle 13,00 e dalle ore 15,00 alle 19,00. Le mostre temporanee restano aperte dalle 11,00 alle 19,00, il giovedì dalle 11,00 alle 22,00. 
Giorno di chiusura: lunedì e festività riconosciute (Capodanno, Pasqua, Natale)","per le collezioni permanenti:
10,00-13,00 / 15,00-19,00
                 lunedi chiuso

per le mostre temporanee:
da martedi a domenica: 11,00 - 19,00
             giovedi:  11,00 - 22,00
             lunedi chiuso","ore settimanali di apertura per le collezioni permanenti: 42,00

ore settimanali di apertura per le mostre temporanee: 51,00",GRATUITO,,SI,SI,SI,,SI,SI,SI,SI,,SI,SI,SI,SI,,,,,,,,,SI,SI,,,SI,,SI,,SI,SI,,RICONOSCIUTO
2334,SI,TOTALMENTE,2287,MUSEO CIVICO FLORIANO BODINI,ARTE,MUSEO CIVICO FLORIANO BODINI,GEMONIO,VARESE,,21036,"Via Marsala, 11",0332 604276,0332 604012,info@comune.gemonio.va.it,comune.gemonio.va.it,APERTA,,"La sede è aperta, agibile ed è dotata di tutte le strutture necessarie al miglior funzionamento.","Dalle ore 10.30 alle ore 12.30
Dalle ore 15.00 alle ore 18.30",,A PAGAMENTO,,SI,SI,,SI,SI,SI,SI,SI,,SI,,SI,SI,,,,,,SI,,,SI,SI,,,SI,,,,SI,,,RICONOSCIUTO
2333,SI,PARZIALMENTE,2286,MUSEO DI VILLA DELLA PORTA BOZZOLO,CASA-MUSEO,MUSEO DI VILLA DELLA PORTA BOZZOLO,CASALZUIGNO,VARESE,,21030,Viale Camillo Bozzolo 5,0332 624136,0332 624748,faibozzolo@fondoambiente.it,www.fondoambiente.it,APERTA,,,"Da marzo a settembre: 10-18
Ottobre, novembre e seconda metà di febbraio: 10-17
Aperta tutti i giorni tranne i lunedì e i martedì non festivi.
Martedì si accettano gruppi e scolaresche su prenotazione.
Ultimo ingresso mezz'ora prima della chiusura.",,A PAGAMENTO,GIORNATE FAI DI PRIMAVERA,SI,,SI,,,,SI,,"Centro di documentazione, fototeca, archivio schedografico sono presso la sede operativa FAI - Viale Coni Zugna, 5 - 20144 Milano
Accesso e consultazione su appuntamento",SI,SI,SI,SI,SI,,,,,,,,SI,SI,SI,SI,SI,,,,SI,,,RICONOSCIUTO
2340,NO,PARZIALMENTE,2289,CIVICHE RACCOLTE STORICHE,ARTE,MUSEO DEL RISORGIMENTO,MILANO,MILANO,,20121,"Via Borgonuovo, 23",02 88464170,02 88464181,museicentro.info@comune.mi.it,www.museidelcentro.mi.it,APERTA,,,"Dal mart. alla dom. 9-13 14-17.30
Lunedì chiuso",,A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,SI,,SI,SI,SI,,,SI,,,,,,,SI,SI,SI,,,,,SI,SI,,,RICONOSCIUTO
2342,SI,TOTALMENTE,2289,CIVICHE RACCOLTE STORICHE,ARTE,PALAZZO MORANDO COSTUME MODA IMMAGINE,MILANO,MILANO,,21021,"Via Sant'Andrea, 6",02 88465933,02 88465736,museicentro.info@comune.mi.it,www.museidelcentro.mi.it,APERTA,,,Da mart. a dom. 9.00/13.00 14.00/17.30,,A PAGAMENTO,,SI,,,,,,SI,SI,,SI,SI,SI,SI,,,,,,,,,SI,SI,SI,,,,,SI,SI,,,RICONOSCIUTO
1522,SI,TOTALMENTE,1401,MUSEO ETNOGRAFICO DELL'ALTA BRIANZA,ETNOGRAFIA E ANTROPOLOGIA,MUSEO ETNOGRAFICO DELL'ALTA BRIANZA,GALBIATE,LECCO,,23851,Loc. Camporeso,0341542266,0341240216,meab@parcobarro.it,http://meab.parcobarro.it/,APERTA,,"MA-ME-VE-SA-DO: 9.00-12.30

 Sabato e Domenica 14.00-18.00","MA-ME-VE-SA-DO:9.00-12.30
SA-DO: 14.00-18.00",,A PAGAMENTO,,SI,SI,SI,SI,,,SI,SI,,SI,SI,,SI,,SI,,,,SI,,,SI,SI,SI,,,,SI,SI,SI,,,RICONOSCIUTO
2344,NO,PARZIALMENTE,2291,MUSEO DIOCESANO,ARTE,MUSEO DIOCESANO DI MILANO,MILANO,MILANO,,20123,"Corso di Porta Ticinese, 95",02 89404714,02 89407577,segreteria@museodiocesano.it,www.museodiocesano.it,APERTA,,,"ORARIO NORNALE:
TUTTI I GIORNI DALLE ORE 10 ALLE ORE 18
LUNEDI' CHIUSO

ORARIO ESTIVO: 
TUTTI I GIORNI DALLE 19 ALLE 24
DOMENICA, LUNEDI' CHIUSO",,A PAGAMENTO,,NO,SI,SI,SI,SI,SI,SI,SI,SALA MULTIMEDIALE,SI,SI,SI,SI,SI,SI,,,,SI,,,SI,SI,SI,,SI,SI,SI,SI,SI,,,RICONOSCIUTO
2345,SI,PARZIALMENTE,2292,MUSEO DI SANT'EUSTORGIO,COMPOSITO,MUSEO DELLA BASILICA DI SANT'EUSTORGIO,MILANO,MILANO,,20122,"Piazza Sant'Eustorgio, 1-3",02 89402671,02 89402671,parrocchia@santeustorgio.it,,APERTA,,,"Dalle ore 10.00 alle ore 18.00 tutti i giorni.
Vengono inoltre concordate aperture serali su richiesta ed in occasione di eventi speciali (concerti, conferenze)","Su richiesta nelle ore serali il museo viene aperto per visite di gruppi, concerti e conferenze.",A PAGAMENTO,GIORNATA DEI MUSEI E FESTA DI SAN PIETRO MARTIRE (28 APRILE),SI,,SI,,,,SI,SI,"Conferenze e altre attività per il pubblico si svolgono nella Sala Capitolare e nella Sacrestia Monumentale. Nella Cappella Portinari si svolgono concerti di solisti e piccoli gruppi musicali. Nella Basilica di Sant'eustorgio, si svolgono in collaborazione con il Museo Diocesano, grandi concerti per orchestra (Orchestra Filarmonica el Teatro alla Scala). 
- Archivio storico e biblioteca/centro di documentazione sono allocati in spazi protetti.
- E' prevista l'apertura al pubblico nel 2004.",SI,,SI,SI,SI,SI,Gli spazi attigui al museo fanno parte dell'oratorio della Parrocchia dove i bambini possono sostare e partecipare alle attività ludico-educative dove è possibile usufruire anche di servizio di ristoro.,,SI,,,"Convenzione con la ditta C.R. Conservazione e Restauri s.r.l., a titolo gratuito, per la normale manutenzione e movimentazione delle opere.",SI,SI,SI,SI,SI,,,,SI,,,RICONOSCIUTO
2363,SI,TOTALMENTE,1801,MUSEO CIVICO POLIRONIANO,ETNOGRAFIA E ANTROPOLOGIA,EX REFETTORIO MONASTICO,SAN BENEDETTO PO,MANTOVA,,46027,Piazza Matilde di Canossa,0376620036,0376620078,museo@comune.san-benedetto-po.mn.it,www.comune.san-benedetto-po.mn.it,APERTA,,,"Dal 1 marzo al 25 ottobre
dal martedì alla domenica 9-12.30 / 15.00-18.00
chiuso il lunedi
Dal 26 ottobre al 28 febbraio
dal martedi alla domenica 9-12.30 / 14.30-17.30
chiuso il lunedi",,A PAGAMENTO,LA DOMENICA DELLA SETTIMANA DEI BENI CULTURALI,SI,,,,,,,,L'ex refettorio monastico funge solo da sede espositiva,SI,,,SI,,,,,,,,Ci si avvale degli spazi del museo civico,SI,SI,SI,SI,,SI,,,SI,,,RICONOSCIUTO
2364,SI,TOTALMENTE,2207,MUSEO CIVICO DI VOGHERA-MUSEO DI SCIENZE NATURALI,SCIENZA E STORIA NATURALE,CIVICO MUSEO DI SCIENZE NATURALI,VOGHERA,PAVIA,,27058,"Via Gramsci, 1",0383/644200,0383/644200,museoscienze@comune.voghera.pv.it,www.comune.voghera.pv.it,APERTA,,"Orari di apertura:
Martedì:   ore 9.15/12.30 e 14.00/17.00
Mercoledì: ore 9.15/12.30 
Giovedì    ore 9.15/12.30 e 14.00/17.00 
Venerdì:   ore 9.15/12.30 e 14.00/17.00
Sabato:    ore              14.00/17.00","Martedì:   ore 9.15/12.30 e 14.00/17.00
Mercoledì: ore 9.15/12.30  
Giovedì:   ore 9.15/12.30 e 14.00/17.00
Venerdì:   ore 9.15/12.30 e 14.00/17.00
Sabato:    ore              14.00/17.00",,GRATUITO,,SI,SI,SI,SI,SI,SI,SI,SI,"Come ""sala proiezioni diapositive e conferenze"" viene usata quella dell'attigua biblioteca civica.",,,SI,,,,"E' in allestimento un book-shop.
Distributori automatici di bevande a disposizione presso l'attigua biblioteca civica.",,,SI,SI,,SI,SI,SI,,SI,,,,SI,SI,E' in fase di preparazione la guida del Museo,RICONOSCIUTO
2367,SI,TOTALMENTE,2315,MUSEO NATURALISTICO PALEONTOLOGICO,SCIENZA E STORIA NATURALE,MUSEO NATURALISTICO PALEONTOLOGICO,SAN DANIELE PO,CREMONA,,26046,via Faverzani 11,0372/65536,0372/65079,segreteria@museosandanielepo.com,www.museosandanielepo.com,APERTA,,"Attualmente il museo è aperto 25 ore settimanali, dal lunedi al venerdi dalle 8.00 alle 13.00 e tutte le domeniche dalle 14.00 ale 19.00.
Vengono inoltre effettuate aperture supplementari in relazione a particolari giornate o festività.","Il museo è aperto per 25 ore settimanali dal martedi al venerdi dalle 8.00 alle 13.00.
La domenica e i festivi dalle 14.00 alle 19.00.",Il museo può essere aperto su richiesta anche fuori dai normali orari di apertura.,A PAGAMENTO,,SI,SI,SI,SI,SI,,SI,SI,Laboratorio didattico,SI,SI,SI,SI,,,"La biglietteria ospita anche un ufficio informativo con scopo di far conoscere le attività museali, le attività dell'associazione che gestisce il museo ed alcune offerte turistiche sul territorio.",,SI,SI,SI,Il museo è dotato di un laboratorio di preparazione conservativa e restauro. E' inoltre presente un laboratorio di didattica naturalistica.,SI,SI,SI,,SI,,SI,,SI,,Nel laboratorio didattico è in funzione un sistema multimediale di videoproiezione a corredo e integrazione dell'attività didattica e della visita.,RICONOSCIUTO
2375,SI,TOTALMENTE,2319,MUSEI CIVICI,COMPOSITO,MUSEO ARCHEOLOGICO DI VILLA MIRABELLO,VARESE,VARESE,,21100,"Piazza della Motta, 4",0332 255-485/484/482,0332 281460,museoarcheologico.mirabello@comune.varese.it,http://www.comune.varese.it/,APERTA,,"dall'aprile 2006 è stato aperto il nuovo allestimento della sezione romana nell'ala ovest ristrutturata e a pian terreno la sezione epigrafica. La sezione pre-protostorica, in corso di allestimento, occuperà il primo piano dell'ala est di Villa Mirabello","Da martedì a domenica:
Periodo scolastico (dal 2 novembre al 31 maggio):
9.30 ? 12.30  /  14.00 ? 17.30
Periodo estivo (dal 1° giugno al 31 ottobre):
10 -12.30  /  14.00  - 18.00
Primo sabato di ogni mese:
chiusura posticipata alle ore 22.00
Chiuso: lunedì (escluso lunedì dell?Angelo), 1° gennaio, Pasqua, 1° maggio, 1° novembre, 25 dicembre",orari in vigore da aprile 2006.,A PAGAMENTO,IN OCCASIONE DI PARTICOLARI EVENTI,SI,SI,SI,SI,SI,SI,SI,SI,"Questi servizi saranno pienamente disponibili a ristrutturazione completata.
Attualmente la sala conferenze e proiezioni non è agibile e se possibile si utilizza la sala ottagonale. Per la didattica oltre a una sala al primo piano è adibita a laboratorio sperimentale la serra di Villa Mirabello.",SI,,,SI,SI,,,,,SI,SI,"Il laboratorio ha sede nell'ala ovest dove Viene sistemato il materiale post scavo. Se necessita lavato, siglato, poi steso su tavoli per assemblaggio, documentazione, foto, primo intervento, restauro, disegno. Qui vi è anche la serie di apparecchiature necessaria per la preparazione del materiale didattico.",SI,SI,SI,,SI,,,,SI,,"Quanto indicato corrisponde alla situazione attuale di parziale apertura del Museo. Sono tuttavia previsti ulteriori strumenti anche di tipo multimediale nell'ambito del percorso completo. I cataloghi si riferiscono alla sezione epigrafica,alle monete repubblicane e alla mummia di Varese",RICONOSCIUTO
2382,SI,TOTALMENTE,2065,MUSEO D'ARTE E CULTURA AFRICANA,ETNOGRAFIA E ANTROPOLOGIA,MUSEO E VILLAGGIO AFRICANO,URGNANO,BERGAMO,BASELLA,24059,VIA G. B. PERUZZO 2,035-894670,035-5096977,info@museoafricano.it,www.museoafricano.it,APERTA,,"da lunedi a venerdi 9.00-17.00
sabato chiuso
domenica 14.00-18.00","da lunedi a venerdi 9.00-17.00
sabato chiuso
domenica 14.00-18.00",,A PAGAMENTO,,SI,,SI,,SI,,SI,SI,laboratorio di manualità,SI,,SI,SI,SI,,,,,,,"Come detto sopra, laboratorio per attività di manipolazione all'interno di percorsi didattici per le scuole.",SI,SI,,,SI,SI,SI,SI,SI,SI,,RICONOSCIUTO
2380,SI,PARZIALMENTE,2204,SISTEMA MUSEALE DI ATENEO,COMPOSITO,ORTO BOTANICO,PAVIA,PAVIA,,27100,"Via San Epifanio, 14",0382 984841,0382 34240,orto.botanico@unipv.it,http://www.unipv.it/orto1773/,APERTA,,,"Da lunedì a giovedì, 9 -12,00; 14,30-17,00.
Venerdì 9 -12,00.
Per giorni festivi apertura secondo il calendario delle manifestazioni e su prenotazione.","Per giorni festivi apertura secondo il calendario delle manifestazioni e su prenotazione.
A partire dal 6/11/2010 i musei del sistema saranno aperti a turno il sabato dalle 9 alle 12.",GRATUITO,,SI,SI,SI,SI,SI,,SI,SI,,,,,,,,,,,SI,SI,Il laboratorio è riferito all'erbario e alle serre.E' stato recentemente attrezzato un centro didattico divulgativo della Riserva Naturale Bosco Siro Negri (di proprietà dell'Università. E' stato attrezzato anche il Laboratorio Centro Flora Autoctona in collaborazione con la Regione Lombardia,SI,SI,SI,SI,,,,,SI,,,RICONOSCIUTO
2381,SI,TOTALMENTE,2332,MUSEO DEI BENI CULTURALI CAPPUCCINI,ARTE,MUSEO DEI BENI CULTURALI CAPPUCCINI,MILANO,MILANO,,20129,Via Antonio Kramer 5,02 771 22 321,02 771 22 328,master@bccmuseum.org,www.bccmuseum.org,APERTA,,,"Martedì, mercoledì, venerdì: 15.00 - 18.30
Giovedì, sabato, domenica: 10.00 - 18.30 lunedì chiuso
Scuole e i gruppi possono accedere anche nelle mattine di chiusura previo appuntamento.",,GRATUITO,,SI,SI,SI,,,SI,SI,SI,"La sala conferenze ospita 150 posti a sedere ed è dottata delle più moderne apparecchiature per proiezione, conferenza e traduzione.",,SI,SI,SI,,,,,,,,,SI,SI,,,SI,,SI,SI,SI,,,RICONOSCIUTO
2378,NO,PARZIALMENTE,2319,MUSEI CIVICI,COMPOSITO,MUSEO E AREA ARCHEOLOGICA ISOLINO VIRGINIA,BIANDRONNO,VARESE,,21024,Via Marconi,0332/766268,,,,APERTA,,Si tratta di un'apertura stagionale nei fine settimana e nei festivi da aprile a novembre e tutto l'anno su appuntamento.,"Sabato, domenica; i festivi da aprile a novembre: 14-18. Aperto tutto l'anno su prenotazione.","Quanto sopra naturalmente è legato al discorso di apertura stagionale(sabato e domenica, ma anche festivi e giornate di apertura in occasione di manifestazioni ed eventi)",A PAGAMENTO,IN OCCASIONE DI PARTICOLARI EVENTI,NO,,,,,,,SI,"L'audiovisivo è posto a piano terreno, nella saletta ove si trova la porzione di un acciottolato, risalente al neolitoc recente e recuperato dagli scavi nel luglio del 1983.",SI,,,SI,SI,,"La biglietteria e il book shop, dato che lo spazio del museo è molto ridotto, si trovano sempre a pian terreno nella saletta ove è visibile l'acciottolato della Cultura della Lagozza. Il ristorante-bar è sull'Isola ed è posto in una struttura a parte.",,,,,,SI,SI,SI,,SI,,SI,,SI,,"Si dispone di cartoline, segnalibri, spille. E'visibile cd con aggiornamento su scavo 2006. Sull'Isola dal 2007 esiste un percorso didattico con totem in corrispondenza delle aree di scavo. si prevede la realizzazione in inglese del pieghevole ""Il Parco dell'isolino Virginia"" e ""Preistoria dei Laghi""",RICONOSCIUTO
2376,SI,PARZIALMENTE,2319,MUSEI CIVICI,COMPOSITO,MUSEO DI ARTE MODERNA E CONTEMPORANEA,VARESE,VARESE,Masnago,21100,"via Cola di Rienzo, 42",0332.255476 (reception: 0332820409),0332.220089,musei.masnago@comune.varese.it,www.comune.varese.it,APERTA,,,"Da martedì a domenica:
Periodo scolastico (dal 2 novembre al 31 maggio):
9.30 ? 12.30  /  14.00 ? 17.30
Periodo estivo (dal 1° giugno al 31 ottobre):
10 -12.30  /  14.30  - 18.30

Terzo sabato di ogni mese:
chiusura posticipata alle ore 22.00	
Chiuso: lunedì (escluso lunedì dell?Angelo), 1° gennaio, Pasqua, 1° maggio, 1° novembre, 25 dicembre",,A PAGAMENTO,IN OCCASIONE DI PARTICOLARI EVENTI,SI,,SI,,SI,,SI,SI,"Esiste un cortile interno utilizzato per l'accoglienza, le attività didattiche, i concerti, le presentazioni. 
La Biblioteca d'arte dei Musei Civici è condivisa con la sede del Museo Archeologico a Villa Mirabello",SI,,,SI,,,Sono presenti distributori automatici di bevande.,SI,,,,,SI,SI,SI,SI,,SI,SI,SI,SI,,Servizi di sussidio alla visita vengono generalmente offerti in occasione delle mostre,RICONOSCIUTO
